t_ms,x_mm,y_mm,z_mm,dx_mm,dy_mm,dz_mm,x_pulse,y_pulse,z_pulse
19,158.195000,0.028203,1.415206,-0.185000,0.002891,0.009458,158195,28,1415
20,158.000000,0.031250,1.424165,-0.195000,0.003047,0.008958,158000,31,1424
21,157.795000,0.034453,1.432623,-0.205000,0.003203,0.008458,157795,34,1433
22,157.580000,0.037812,1.440582,-0.215000,0.003359,0.007958,157580,38,1441
23,157.355000,0.041328,1.448040,-0.225000,0.003516,0.007458,157355,41,1448
24,157.120000,0.045000,1.454998,-0.235000,0.003672,0.006958,157120,45,1455
25,156.875000,0.048828,1.461457,-0.245000,0.003828,0.006458,156875,49,1461
26,156.620000,0.052813,1.467415,-0.255000,0.003984,0.005958,156620,53,1467
27,156.355000,0.056953,1.472873,-0.265000,0.004141,0.005458,156355,57,1473
28,156.080000,0.061250,1.477832,-0.275000,0.004297,0.004958,156080,61,1478
29,155.795000,0.065703,1.482290,-0.285000,0.004453,0.004458,155795,66,1482
30,155.500000,0.070312,1.486248,-0.295000,0.004609,0.003958,155500,70,1486
31,155.195000,0.075078,1.489707,-0.305000,0.004766,0.003458,155195,75,1490
32,154.880000,0.080000,1.492665,-0.315000,0.004922,0.002958,154880,80,1493
33,154.555000,0.085078,1.495123,-0.325000,0.005078,0.002458,154555,85,1495
34,154.220000,0.090313,1.497082,-0.335000,0.005234,0.001958,154220,90,1497
35,153.875000,0.095703,1.498540,-0.345000,0.005391,0.001458,153875,96,1499
36,153.520000,0.101250,1.499498,-0.355000,0.005547,0.000958,153520,101,1499
37,153.155000,0.106953,1.499957,-0.365000,0.005703,0.000458,153155,107,1500
38,152.780000,0.112812,1.500000,-0.375000,0.005859,0.000043,152780,113,1500
39,152.395000,0.118828,1.500000,-0.385000,0.006016,0.000000,152395,119,1500
40,152.000000,0.125000,1.500000,-0.395000,0.006172,0.000000,152000,125,1500
41,151.595000,0.131328,1.500000,-0.405000,0.006328,0.000000,151595,131,1500
42,151.180000,0.137813,1.500000,-0.415000,0.006484,0.000000,151180,138,1500
43,150.755000,0.144453,1.500000,-0.425000,0.006641,0.000000,150755,144,1500
44,150.320000,0.151250,1.500000,-0.435000,0.006797,0.000000,150320,151,1500
45,149.875000,0.158203,1.500000,-0.445000,0.006953,0.000000,149875,158,1500
46,149.420000,0.165312,1.500000,-0.455000,0.007109,0.000000,149420,165,1500
47,148.955000,0.172578,1.500000,-0.465000,0.007266,0.000000,148955,173,1500
48,148.480000,0.180000,1.500000,-0.475000,0.007422,0.000000,148480,180,1500
49,147.995000,0.187578,1.500000,-0.485000,0.007578,0.000000,147995,188,1500
50,147.500000,0.195313,1.500000,-0.495000,0.007734,0.000000,147500,195,1500
51,146.995000,0.203203,1.500000,-0.505000,0.007891,0.000000,146995,203,1500
52,146.480000,0.211250,1.500000,-0.515000,0.008047,0.000000,146480,211,1500
53,145.955000,0.219453,1.500000,-0.525000,0.008203,0.000000,145955,219,1500
54,145.420000,0.227813,1.500000,-0.535000,0.008359,0.000000,145420,228,1500
55,144.875000,0.236328,1.500000,-0.545000,0.008516,0.000000,144875,236,1500
56,144.320000,0.245000,1.500000,-0.555000,0.008672,0.000000,144320,245,1500
57,143.755000,0.253828,1.500000,-0.565000,0.008828,0.000000,143755,254,1500
58,143.180000,0.262813,1.500000,-0.575000,0.008984,0.000000,143180,263,1500
59,142.595000,0.271953,1.500000,-0.585000,0.009141,0.000000,142595,272,1500
60,142.000000,0.281250,1.500000,-0.595000,0.009297,0.000000,142000,281,1500
61,141.395000,0.290703,1.500000,-0.605000,0.009453,0.000000,141395,291,1500
62,140.780000,0.300312,1.500000,-0.615000,0.009609,0.000000,140780,300,1500
63,140.155000,0.310078,1.500000,-0.625000,0.009766,0.000000,140155,310,1500
64,139.520000,0.320000,1.500000,-0.635000,0.009922,0.000000,139520,320,1500
65,138.875000,0.330078,1.500000,-0.645000,0.010078,0.000000,138875,330,1500
66,138.220000,0.340313,1.500000,-0.655000,0.010234,0.000000,138220,340,1500
67,137.555000,0.350703,1.500000,-0.665000,0.010391,0.000000,137555,351,1500
68,136.880000,0.361250,1.500000,-0.675000,0.010547,0.000000,136880,361,1500
69,136.195000,0.371953,1.500000,-0.685000,0.010703,0.000000,136195,372,1500
70,135.500000,0.382813,1.500000,-0.695000,0.010859,0.000000,135500,383,1500
71,134.795000,0.393828,1.500000,-0.705000,0.011016,0.000000,134795,394,1500
72,134.080000,0.405000,1.500000,-0.715000,0.011172,0.000000,134080,405,1500
73,133.355000,0.416328,1.500000,-0.725000,0.011328,0.000000,133355,416,1500
74,132.620000,0.427812,1.500000,-0.735000,0.011484,0.000000,132620,428,1500
75,131.875000,0.439453,1.500000,-0.745000,0.011641,0.000000,131875,439,1500
76,131.120000,0.451250,1.500000,-0.755000,0.011797,0.000000,131120,451,1500
77,130.355000,0.463203,1.500000,-0.765000,0.011953,0.000000,130355,463,1500
78,129.580000,0.475312,1.500000,-0.775000,0.012109,0.000000,129580,475,1500
79,128.795000,0.487578,1.500000,-0.785000,0.012266,0.000000,128795,488,1500
80,128.000000,0.500000,1.500000,-0.795000,0.012422,0.000000,128000,500,1500
81,127.195000,0.512578,1.500000,-0.805000,0.012578,0.000000,127195,513,1500
82,126.380000,0.525312,1.500000,-0.815000,0.012734,0.000000,126380,525,1500
83,125.555000,0.538203,1.500000,-0.825000,0.012891,0.000000,125555,538,1500
84,124.720000,0.551250,1.500000,-0.835000,0.013047,0.000000,124720,551,1500
85,123.875000,0.564453,1.500000,-0.845000,0.013203,0.000000,123875,564,1500
86,123.020000,0.577813,1.500000,-0.855000,0.013359,0.000000,123020,578,1500
87,122.155000,0.591328,1.500000,-0.865000,0.013516,0.000000,122155,591,1500
88,121.280000,0.605000,1.500000,-0.875000,0.013672,0.000000,121280,605,1500
89,120.395000,0.618828,1.500000,-0.885000,0.013828,0.000000,120395,619,1500
90,119.500000,0.632812,1.500000,-0.895000,0.013984,0.000000,119500,633,1500
91,118.595000,0.646953,1.500000,-0.905000,0.014141,0.000000,118595,647,1500
92,117.680000,0.661250,1.500000,-0.915000,0.014297,0.000000,117680,661,1500
93,116.755000,0.675703,1.500000,-0.925000,0.014453,0.000000,116755,676,1500
94,115.820000,0.690313,1.500000,-0.935000,0.014609,0.000000,115820,690,1500
95,114.875000,0.705078,1.500000,-0.945000,0.014766,0.000000,114875,705,1500
96,113.920000,0.720000,1.500000,-0.955000,0.014922,0.000000,113920,720,1500
97,112.955000,0.735078,1.500000,-0.965000,0.015078,0.000000,112955,735,1500
98,111.980000,0.750313,1.500000,-0.975000,0.015234,0.000000,111980,750,1500
99,110.995000,0.765703,1.500000,-0.985000,0.015391,0.000000,110995,766,1500
100,110.000000,0.781250,1.500000,-0.995000,0.015547,0.000000,110000,781,1500
101,109.000000,0.796875,1.500000,-1.000000,0.015625,0.000000,109000,797,1500
102,108.000000,0.812500,1.500000,-1.000000,0.015625,0.000000,108000,813,1500
103,107.000000,0.828125,1.500000,-1.000000,0.015625,0.000000,107000,828,1500
104,106.000000,0.843750,1.500000,-1.000000,0.015625,0.000000,106000,844,1500
105,105.000000,0.859375,1.500000,-1.000000,0.015625,0.000000,105000,859,1500
106,104.000000,0.875000,1.500000,-1.000000,0.015625,0.000000,104000,875,1500
107,103.000000,0.890625,1.500000,-1.000000,0.015625,0.000000,103000,891,1500
108,102.000000,0.906250,1.500000,-1.000000,0.015625,0.000000,102000,906,1500
109,101.000000,0.921875,1.500000,-1.000000,0.015625,0.000000,101000,922,1500
110,100.000000,0.937500,1.500000,-1.000000,0.015625,0.000000,100000,938,1500
111,99.000000,0.953125,1.500000,-1.000000,0.015625,0.000000,99000,953,1500
112,98.000000,0.968750,1.500000,-1.000000,0.015625,0.000000,98000,969,1500
113,97.000000,0.984375,1.500000,-1.000000,0.015625,0.000000,97000,984,1500
114,96.000000,1.000000,1.500000,-1.000000,0.015625,0.000000,96000,1000,1500
115,95.000000,1.015625,1.500000,-1.000000,0.015625,0.000000,95000,1016,1500
116,94.000000,1.031250,1.500000,-1.000000,0.015625,0.000000,94000,1031,1500
117,93.000000,1.046875,1.500000,-1.000000,0.015625,0.000000,93000,1047,1500
118,92.000000,1.062500,1.500000,-1.000000,0.015625,0.000000,92000,1063,1500
119,91.000000,1.078125,1.500000,-1.000000,0.015625,0.000000,91000,1078,1500
120,90.000000,1.093750,1.500000,-1.000000,0.015625,0.000000,90000,1094,1500
121,89.000000,1.109375,1.500000,-1.000000,0.015625,0.000000,89000,1109,1500
122,88.000000,1.125000,1.500000,-1.000000,0.015625,0.000000,88000,1125,1500
123,87.000000,1.140625,1.500000,-1.000000,0.015625,0.000000,87000,1141,1500
124,86.000000,1.156250,1.500000,-1.000000,0.015625,0.000000,86000,1156,1500
125,85.000000,1.171875,1.500000,-1.000000,0.015625,0.000000,85000,1172,1500
126,84.000000,1.187500,1.500000,-1.000000,0.015625,0.000000,84000,1188,1500
127,83.000000,1.203125,1.500000,-1.000000,0.015625,0.000000,83000,1203,1500
128,82.000000,1.218750,1.500000,-1.000000,0.015625,0.000000,82000,1219,1500
129,81.000000,1.234375,1.500000,-1.000000,0.015625,0.000000,81000,1234,1500
130,80.000000,1.250000,1.500000,-1.000000,0.015625,0.000000,80000,1250,1500
131,79.000000,1.265625,1.500000,-1.000000,0.015625,0.000000,79000,1266,1500
132,78.000000,1.281250,1.500000,-1.000000,0.015625,0.000000,78000,1281,1500
133,77.000000,1.296875,1.500000,-1.000000,0.015625,0.000000,77000,1297,1500
134,76.000000,1.312500,1.500000,-1.000000,0.015625,0.000000,76000,1313,1500
135,75.000000,1.328125,1.500000,-1.000000,0.015625,0.000000,75000,1328,1500
136,74.000000,1.343750,1.500000,-1.000000,0.015625,0.000000,74000,1344,1500
137,73.000000,1.359375,1.500000,-1.000000,0.015625,0.000000,73000,1359,1500
138,72.000000,1.375000,1.500000,-1.000000,0.015625,0.000000,72000,1375,1500
139,71.000000,1.390625,1.500000,-1.000000,0.015625,0.000000,71000,1391,1500
140,70.000000,1.406250,1.500000,-1.000000,0.015625,0.000000,70000,1406,1500
141,69.000000,1.421875,1.500000,-1.000000,0.015625,0.000000,69000,1422,1500
142,68.000000,1.437500,1.500000,-1.000000,0.015625,0.000000,68000,1438,1500
143,67.000000,1.453125,1.500000,-1.000000,0.015625,0.000000,67000,1453,1500
144,66.000000,1.468750,1.500000,-1.000000,0.015625,0.000000,66000,1469,1500
145,65.000000,1.484375,1.500000,-1.000000,0.015625,0.000000,65000,1484,1500
146,64.000000,1.500000,1.500000,-1.000000,0.015625,0.000000,64000,1500,1500
147,63.000000,1.515625,1.500000,-1.000000,0.015625,0.000000,63000,1516,1500
148,62.000000,1.531250,1.500000,-1.000000,0.015625,0.000000,62000,1531,1500
149,61.000000,1.546875,1.500000,-1.000000,0.015625,0.000000,61000,1547,1500
150,60.000000,1.562500,1.500000,-1.000000,0.015625,0.000000,60000,1562,1500
151,59.000000,1.578125,1.500000,-1.000000,0.015625,0.000000,59000,1578,1500
152,58.000000,1.593750,1.500000,-1.000000,0.015625,0.000000,58000,1594,1500
153,57.000000,1.609375,1.500000,-1.000000,0.015625,0.000000,57000,1609,1500
154,56.000000,1.625000,1.500000,-1.000000,0.015625,0.000000,56000,1625,1500
155,55.000000,1.640625,1.500000,-1.000000,0.015625,0.000000,55000,1641,1500
156,54.000000,1.656250,1.500000,-1.000000,0.015625,0.000000,54000,1656,1500
157,53.000000,1.671875,1.500000,-1.000000,0.015625,0.000000,53000,1672,1500
158,52.000000,1.687500,1.500000,-1.000000,0.015625,0.000000,52000,1688,1500
159,51.000000,1.703125,1.500000,-1.000000,0.015625,0.000000,51000,1703,1500
160,50.000000,1.718750,1.500000,-1.000000,0.015625,0.000000,50000,1719,1500
161,49.000000,1.734375,1.500000,-1.000000,0.015625,0.000000,49000,1734,1500
162,48.000000,1.750000,1.500000,-1.000000,0.015625,0.000000,48000,1750,1500
163,47.000000,1.765625,1.500000,-1.000000,0.015625,0.000000,47000,1766,1500
164,46.000000,1.781250,1.500000,-1.000000,0.015625,0.000000,46000,1781,1500
165,45.000000,1.796875,1.500000,-1.000000,0.015625,0.000000,45000,1797,1500
166,44.000000,1.812500,1.500000,-1.000000,0.015625,0.000000,44000,1813,1500
167,43.000000,1.828125,1.500000,-1.000000,0.015625,0.000000,43000,1828,1500
168,42.000000,1.843750,1.500000,-1.000000,0.015625,0.000000,42000,1844,1500
169,41.000000,1.859375,1.500000,-1.000000,0.015625,0.000000,41000,1859,1500
170,40.000000,1.875000,1.500000,-1.000000,0.015625,0.000000,40000,1875,1500
171,39.000000,1.890625,1.500000,-1.000000,0.015625,0.000000,39000,1891,1500
172,38.000000,1.906250,1.500000,-1.000000,0.015625,0.000000,38000,1906,1500
173,37.000000,1.921875,1.500000,-1.000000,0.015625,0.000000,37000,1922,1500
174,36.000000,1.937500,1.500000,-1.000000,0.015625,0.000000,36000,1938,1500
175,35.000000,1.953125,1.500000,-1.000000,0.015625,0.000000,35000,1953,1500
176,34.000000,1.968750,1.500000,-1.000000,0.015625,0.000000,34000,1969,1500
177,33.000000,1.984375,1.500000,-1.000000,0.015625,0.000000,33000,1984,1500
178,32.000000,2.000000,1.500000,-1.000000,0.015625,0.000000,32000,2000,1500
179,31.000000,2.015625,1.500000,-1.000000,0.015625,0.000000,31000,2016,1500
180,30.000000,2.031250,1.500000,-1.000000,0.015625,0.000000,30000,2031,1500
181,29.000000,2.046875,1.500000,-1.000000,0.015625,0.000000,29000,2047,1500
182,28.000000,2.062500,1.500000,-1.000000,0.015625,0.000000,28000,2063,1500
